Date,ULSP (Ultra low sulphur unleaded petrol) Pump price in pence/litre,ULSD (Ultra low sulphur diesel) Pump price in pence/litre,ULSP (Ultra low sulphur unleaded petrol) Duty rate in pence/litre,ULSD (Ultra low sulphur diesel) Duty rate in pence/litre,ULSP (Ultra low sulphur unleaded petrol) VAT percentage rate,ULSD (Ultra low sulphur diesel) VAT percentage rate
01/01/2018,120.19,123.51,57.95,57.95,20,20
08/01/2018,120.52,123.97,57.95,57.95,20,20
15/01/2018,120.96,124.58,57.95,57.95,20,20
22/01/2018,121.5,125.07,57.95,57.95,20,20
29/01/2018,121.69,125.32,57.95,57.95,20,20
05/02/2018,121.73,125.36,57.95,57.95,20,20
12/02/2018,121.58,125.02,57.95,57.95,20,20
19/02/2018,120.52,124.18,57.95,57.95,20,20
26/02/2018,119.55,123.09,57.95,57.95,20,20
05/03/2018,119.29,122.92,57.95,57.95,20,20
12/03/2018,119.11,122.96,57.95,57.95,20,20
19/03/2018,119.17,122.84,57.95,57.95,20,20
26/03/2018,119.23,122.9,57.95,57.95,20,20
02/04/2018,119.43,123.05,57.95,57.95,20,20
09/04/2018,119.96,123.58,57.95,57.95,20,20
16/04/2018,120.56,124.29,57.95,57.95,20,20
23/04/2018,121.44,125.39,57.95,57.95,20,20
30/04/2018,122.22,126.01,57.95,57.95,20,20
07/05/2018,123.27,126.99,57.95,57.95,20,20
14/05/2018,124.32,128.28,57.95,57.95,20,20
21/05/2018,125.93,130.04,57.95,57.95,20,20
28/05/2018,127.58,131.66,57.95,57.95,20,20
04/06/2018,128.43,132.34,57.95,57.95,20,20
11/06/2018,128.61,132.62,57.95,57.95,20,20
18/06/2018,127.92,131.98,57.95,57.95,20,20
25/06/2018,127.18,131.27,57.95,57.95,20,20
02/07/2018,126.54,130.83,57.95,57.95,20,20
09/07/2018,126.97,131.53,57.95,57.95,20,20
16/07/2018,127.47,131.85,57.95,57.95,20,20
23/07/2018,127.5,131.9,57.95,57.95,20,20
30/07/2018,127.54,131.94,57.95,57.95,20,20
06/08/2018,128.02,132.39,57.95,57.95,20,20
13/08/2018,128.39,132.56,57.95,57.95,20,20
20/08/2018,128.79,132.97,57.95,57.95,20,20
27/08/2018,129.18,133.2,57.95,57.95,20,20
03/09/2018,129.76,133.67,57.95,57.95,20,20
10/09/2018,130.24,134.31,57.95,57.95,20,20
17/09/2018,130.59,134.57,57.95,57.95,20,20
24/09/2018,130.59,134.77,57.95,57.95,20,20
01/10/2018,129.98,134.86,57.95,57.95,20,20
08/10/2018,130.15,135.53,57.95,57.95,20,20
15/10/2018,130.81,136.63,57.95,57.95,20,20
22/10/2018,130.98,136.93,57.95,57.95,20,20
29/10/2018,130.64,136.99,57.95,57.95,20,20
05/11/2018,130.11,137.03,57.95,57.95,20,20
12/11/2018,128.94,137.08,57.95,57.95,20,20
